id,lon,lat,polarity
1360,-1.2819881,50.7532809,negative
1362,-87.4700156,41.6293465,positive
1363,-2.652147,53.789954,positive
1365,-0.1277583,51.5073509,negative
1367,-3.1892413,55.9445158,negative
1371,-2.652147,53.789954,positive
1372,-4.2026458,56.4906712,negative
1373,-76.2177046,43.106456,positive
1376,-4.251806,55.864237,negative
1378,-3.435973,55.378051,positive
1379,-0.1276999,51.5073907,negative
1382,2.3522219,48.856614,positive
1385,-1.0923964,51.26654,negative
1386,-6.4923145,54.7877149,negative
1388,-0.4542955,51.4700223,positive
1389,-4.2026458,56.4906712,positive
1390,-0.3762881,39.4699075,positive
1394,-2.652147,53.789954,positive
1401,-77.412349,39.42233,positive
1405,-2.817677,54.377897,positive
1407,4.3006999,52.0704978,neutral
1410,-0.1277583,51.5073509,positive
1411,-0.210726,51.496283,positive
1413,-2.9436644,53.3976041,positive
1414,-3.009919,51.690116,positive
1415,1.297355,52.6308859,negative
1416,-0.1277583,51.5073509,positive
1418,-2.0627016,51.8923044,positive
1419,-1.1743197,52.3555177,neutral
1425,-95.712891,37.09024,negative
1426,-0.4542955,51.4700223,neutral
1427,-0.1277583,51.5073509,neutral
1428,-2.6103158,53.2326344,negative
1430,3.0175712,39.6952629,negative
1431,-2.2426305,53.4807593,positive
1432,-5.889557,54.5145825,negative
1434,72.5337182,23.0523843,positive
1435,-1.1397592,52.6368778,positive
1436,10.1181294,54.325102,positive
1437,-4.4492054,54.2674547,negative
1440,-2.21869,54.005534,negative
1441,-21.8174392,64.1265206,negative
1442,-2.13125,49.214439,positive
1449,4.469936,50.503887,neutral
1450,-2.145417,49.228619,neutral
1451,-0.1277583,51.5073509,negative
1452,-3.7837117,52.1306607,positive
1453,13.404954,52.5200066,positive
1455,-0.1277583,51.5073509,negative
1457,-82.1887444,36.5951059,neutral
1459,-2.32049,53.648457,negative
1461,-1.1743197,52.3555177,negative
1462,-5.353585,36.140751,neutral
1463,-1.1743197,52.3555177,negative
1466,-0.8755515,52.2729944,negative
1468,-73.9447994,40.6681032,positive
1469,-2.1632062,54.1962686,positive
1473,-2.2426305,53.4807593,positive
1476,-2.2426305,53.4807593,positive
1479,-0.1277583,51.5073509,negative
1483,-0.196612,51.903761,positive
1484,-81.3578859,41.1536674,positive
1486,10.451526,51.165691,positive
1487,46.869107,-18.766947,positive
1488,-4.2263955,57.4595749,positive
1490,-3.188267,55.953252,negative
1492,-0.2376744,51.8097823,positive
1493,-0.1277583,51.5073509,positive
1496,-81.987211,37.990458,positive
1506,-0.341995,51.580559,positive
1508,-0.1277583,51.5073509,positive
1512,-0.1601246,52.9451889,negative
1513,-1.2464674,51.7612056,negative
1514,-2.480044,53.381724,negative
1515,-3.435973,55.378051,negative
1517,-0.098234,51.376165,positive
1520,7.5885761,47.5595986,negative
1522,-76.2177046,43.106456,positive
1523,-0.727336,51.288153,positive
1525,-1.1397592,52.6368778,negative
1529,-2.9915726,53.4083714,negative
1530,-0.1277583,51.5073509,positive
1531,-0.0947824,51.4882615,positive
1533,-0.1277583,51.5073509,positive
1535,-3.999461,50.7772135,negative
1536,-4.2026458,56.4906712,negative
1537,-2.094278,57.149717,positive
1539,-2.0727839,53.7190281,neutral
1547,-0.1277583,51.5073509,positive
1548,104.3050183,52.2869741,positive
1549,151.2092955,-33.8688197,negative
1553,74.3178939,31.4954996,negative
1555,33.429859,35.126413,positive
1556,-87.794624,41.825096,negative
1558,-1.470085,53.381129,positive
1560,-0.3367413,53.7456709,positive
1564,-74.6514481,40.3439888,negative
1566,-1.61778,54.978252,positive
1567,-2.4282192,53.5768647,negative
1568,-0.2376744,51.8097823,positive
1571,-123.1207375,49.2827291,positive
1573,-0.1277583,51.5073509,positive
1574,-3.188267,55.953252,neutral
1580,0.4690888,51.7343313,negative
1581,-3.435973,55.378051,negative
1583,-117.8677872,33.7787168,positive
1590,-4.2026458,56.4906712,positive
1594,-118.3173209,34.0954806,negative
1601,-0.1277583,51.5073509,negative
1603,-0.1277583,51.5073509,neutral
1604,-0.3762881,39.4699075,negative
1606,0.6472769,51.5474028,negative
1609,-0.8094705,51.8137073,positive
1611,-2.58791,51.454513,positive
1612,-2.2426305,53.4807593,positive
1613,-0.013139,51.561948,negative
1619,-2.652147,53.789954,positive
1620,-2.7974835,54.5772323,positive
1628,33.6231723,34.9002535,negative
1629,-2.9262307,51.105097,positive
1630,-4.0840275,52.4182118,positive
1631,-0.1277583,51.5073509,negative
1637,-70.7596515,43.0790609,neutral
1643,-1.5419099,50.758531,positive
1646,-0.0158797,51.5287148,positive
1647,-0.1277583,51.5073509,positive
1649,-3.2688889,51.3930556,positive
1650,-84.3473314,39.2484184,negative
1652,13.404954,52.5200066,positive
1654,-6.2603097,53.3498053,negative
1657,-3.188267,55.953252,negative
1658,121.774017,12.879721,negative
1659,-0.0909852,51.5123443,positive
1663,-76.2177046,43.106456,positive
1664,0.5217254,51.2787075,positive
1667,-1.61778,54.978252,negative
1668,-0.4183259,51.707275,positive
1669,-0.1277583,51.5073509,negative
1670,-1.1743197,52.3555177,neutral
1671,8.227512,46.818188,positive
1672,13.404954,52.5200066,positive
1678,-71.3672838,42.5998139,positive
1681,7.6499111,47.5848274,positive
1683,-0.673061,50.782998,negative
1685,-4.2026458,56.4906712,positive
1690,-0.1277583,51.5073509,positive
1692,-73.9712488,40.7830603,positive
1694,5.1214201,52.0907374,negative
1697,-0.1277583,51.5073509,negative
1698,-116.5452921,33.8302961,positive
1701,-0.1277583,51.5073509,positive
1702,-4.251806,55.864237,neutral
1708,-93.4880164,45.0216195,positive
1710,13.404954,52.5200066,negative
1713,-0.1277583,51.5073509,negative
1714,-6.4923145,54.7877149,positive
1715,-4.2026458,56.4906712,negative
1717,4.4970097,52.1601144,positive
1719,-3.435973,55.378051,positive
1720,0.418397,51.627903,positive
1729,-0.2376744,51.8097823,positive
1731,-4.7834899,55.637652,negative
1736,-0.1438979,51.4952103,positive
1737,-2.0782533,51.8993855,neutral
1738,15.2551187,54.5259614,positive
1740,-5.93012,54.597285,negative
1742,-1.829833,52.4750743,negative
1746,-149.0729714,62.4113634,positive
1747,174.885971,-40.900557,positive
1748,77.5945627,12.9715987,positive
1755,-0.4666546,52.1359729,positive
1758,-80.3751682,43.0252588,positive
1760,-4.2026458,56.4906712,positive
1765,-2.554762,53.598398,positive
1766,8.6821267,50.1109221,positive
1769,-2.2426305,53.4807593,positive
1772,-82.05077,29.063309,positive
1773,-1.1743197,52.3555177,negative
1774,-1.558626,43.4831519,positive
1776,-0.1277583,51.5073509,neutral
1777,-0.1277583,51.5073509,negative
1778,-71.9389194,43.0308557,neutral
1782,-1.61778,54.978252,negative
1783,-3.188267,55.953252,negative
1784,-76.2177046,43.106456,positive
1785,-82.1887444,36.5951059,neutral
1787,-0.137163,50.82253,positive
1790,-2.9915726,53.4083714,negative
1791,-76.2177046,43.106456,negative
1792,-76.2177046,43.106456,neutral
1794,-74.0059728,40.7127753,negative
1795,-2.9124057,56.6979538,positive
1797,-81.9773482,36.7098335,neutral
1798,0.121817,52.205337,negative
1799,-117.7803015,33.7149428,neutral
1800,-0.1277583,51.5073509,positive
1801,-0.325858,51.062883,negative
1803,-2.1113659,53.5409298,negative
1806,7.5885761,47.5595986,negative
1807,-3.435973,55.378051,negative
1811,-0.1601246,52.9451889,negative
1814,-4.251806,55.864237,negative
1815,-0.2376744,51.8097823,negative
1816,-2.2426305,53.4807593,positive
